z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,C2H3O,N2,C2O,C3H2,C3H3,PC3H4,AC3H4,C4H,C4H2,H2C4O,n-C4H3,i-C4H3,C4H4,n-C4H5,i-C4H5,C4H6,C4H612,C5H2,C5H3,C6H,C6H2,C6H3,l-C6H4,c-C6H4,n-C6H5,i-C6H5,l-C6H6,n-C6H7,i-C6H7,c-C6H7,C6H8,A1,A1-,C6H5O,C6H5OH,C5H6,C5H5,C5H5O,C5H4OH,C5H4O,n-A1C2H2,i-A1C2H2,A1C2H3,A1C2H3*,A1C2H,A1C2H*,A1C2H-,A1C2H)2,A2,A2-1,A2-2,naphthyne,A2C2HA,A2C2HB,A2C2HA*,A2C2HB*,A2C2H2,A2C2H)2,A3-1,A3-4,A3,A3C2H,A3C2H2,A4,P2,P2-,P2-H,A4-,A2R5,A2R5-
0.0,0.21662741526729784,0.0,300.0,0.1605105371932522,0.046362183499213394,3.1210386180249746e-05,2.2685149275271603e-06,0.12302069534337372,4.110764475692605e-05,0.04480092843514692,0.0001955126227536653,5.28755868177313e-05,4.4597329097370176e-14,3.091595330164037e-11,1.7986702334617385e-07,1.275815459024862e-09,1.3851744089015038e-05,0.0010581319983902456,0.07775350076791106,0.014213187801927901,1.0861026678938918e-06,0.0008033502611676116,3.688151643859811e-09,2.0763030481373997e-05,7.616829149645499e-05,1.22282149950273e-10,0.17338806534251242,7.563473941865949e-07,0.0005062827719603892,2.764810092895258e-06,0.00010994568742747016,1.108490611557378e-06,0.0009531222723191858,2.502193488470781e-06,0.5153772991487181,0.0003027447496636207,3.9486961395956585e-14,1.5615534509808198e-09,7.313439660107472e-10,4.867224898419006e-06,1.3065352159521068e-05,0.00012917054916735955,4.789067385731695e-15,8.066382754956708e-05,0.00010945312926834975,7.386968626506223e-07,1.3348909744272352e-09,7.432643387544498e-05,4.669743119449642e-06,1.0230913455736582e-09,2.1293734461738455e-05,3.1483406873018244e-06,1.503370144418568e-10,1.788168510056668e-11,3.321776259676151e-15,4.221465664868952e-06,4.305834218281673e-10,1.7611514078312883e-06,1.696625730178699e-06,2.346535782103734e-09,1.4022469707082769e-12,6.47295095654396e-08,1.3143335939723163e-10,9.39571754781797e-14,3.3844333991766414e-06,4.450844548902096e-09,0.00017802657039460524,5.473607453135198e-07,2.3632794568827053e-07,7.9680583572605e-06,4.260253706801783e-05,1.014743107457739e-05,0.00010776756833546665,8.652627966022897e-05,4.391033020677213e-08,1.7490144126017224e-08,4.204402158564307e-08,8.909861283730061e-06,1.5892769495521806e-08,6.462777726703812e-06,1.2439758214665795e-08,1.3836686589696208e-08,7.049059675739495e-10,4.577546858965592e-06,7.28483138014788e-09,9.409539266604546e-09,1.2967569857705673e-07,4.83852777313507e-08,7.261110739079688e-08,9.074741243766943e-11,1.3388374699693835e-10,2.471358121052039e-13,5.251204523704137e-15,1.2532681861737181e-10,1.2550123768410612e-10,6.325600614161375e-08,1.0729636430131533e-10,7.994754841665075e-13,4.0883469652466856e-08,3.3036307075963325e-08,9.663090167970784e-11,2.8220024776145337e-10,7.769359184868253e-11,1.5362485921333063e-06,3.083247906573839e-09
3.814697265625e-07,0.21713947320143243,0.0,300.7064075587501,0.16013202149108924,0.0463678923626947,3.121288030958931e-05,2.269209911661406e-06,0.12298084922145446,4.112049953866521e-05,0.0448209229350352,0.00019560864254559093,5.2901752396370725e-05,3.918817755250824e-14,3.092018063894061e-11,1.7994552164038613e-07,1.2763672161280412e-09,1.3857938084797396e-05,0.0010586072389589811,0.07779157000281578,0.014222588954026028,1.0868251872502596e-06,0.0008038895829376983,3.690614765802784e-09,2.0776932356147862e-05,7.622042046412479e-05,1.2235151592880363e-10,0.1733558303965313,7.568181145483973e-07,0.000506608946917448,2.766728055068883e-06,0.0001100226560728322,1.1089421396089527e-06,0.0009538694661422943,2.504155073586134e-06,0.5153725685301399,0.0003029833386978707,3.443247049048993e-14,1.562567715420121e-09,7.318358620641476e-10,4.871297499566255e-06,1.3076349131906779e-05,0.00012927927089551521,-2.828988438706782e-16,8.074841718239103e-05,0.00010957401694115248,7.394746314165489e-07,1.336291409752428e-09,7.440499723105819e-05,4.6746977084456e-06,1.0241717901569812e-09,2.131641024780559e-05,3.1516934013004124e-06,1.5049620328374478e-10,1.789620203973683e-11,-1.7495891790864015e-15,4.226217094875324e-06,4.3106402186681965e-10,1.7632872698864873e-06,1.698712581610335e-06,2.349382310758929e-09,1.3988736007742242e-12,6.480832336271293e-08,1.315886356087424e-10,8.90081083134819e-14,3.3886212501385583e-06,4.456280064922314e-09,0.00017824642952930184,5.480353705852193e-07,2.366272696121522e-07,7.9781652402822e-06,4.264959504634526e-05,1.0158610135398457e-05,0.00010790141054013433,8.66337411537448e-05,4.396475956533596e-08,1.7517359637709843e-08,4.21094512619828e-08,8.923744888900825e-06,1.5917498837457583e-08,6.472199533845618e-06,1.2457865661938795e-08,1.38568279820747e-08,7.061079349255602e-10,4.585398403980991e-06,7.2973109250382135e-09,9.425660052922217e-09,1.298977428514307e-07,4.847692662584641e-08,7.274864651602172e-08,9.09141268807555e-11,1.3413212355346794e-10,2.425270068974869e-13,1.8412324319029843e-16,1.2559368249058906e-10,1.2576848096202643e-10,6.339332156872222e-08,1.0754417677113985e-10,7.962817739517716e-13,4.0979823712548104e-08,3.3096606437293844e-08,9.68021078958149e-11,2.8271053692986655e-10,7.787156512256367e-11,1.5391586220502687e-06,3.0890796114539126e-09
7.62939453125e-07,0.21765048227180042,0.0,301.4113382668906,0.15975605668530174,0.046373591779151506,3.1213801082864276e-05,2.2699400692746475e-06,0.12294106247417033,4.1134034788650005e-05,0.04484087553498758,0.00019570545719219235,5.2927557998024234e-05,3.327843028670221e-14,3.0922866317418555e-11,1.8004226631478725e-07,1.277037145278769e-09,1.3864469268486775e-05,0.0010590815762873335,0.07782958257407667,0.014231975042119139,1.0876865863614364e-06,0.0008044465492416325,3.6930749640415587e-09,2.0790808192321263e-05,7.627235715292402e-05,1.2241929238456056e-10,0.17332367797964524,7.574633257775996e-07,0.0005069346526449685,2.7686708842950526e-06,0.00011009946884158362,1.1094862071135661e-06,0.0009546145414065073,2.5061189840526345e-06,0.5153678413478076,0.000303222164259324,2.887397596769255e-14,1.5636895823399978e-09,7.32506824486979e-10,4.875477138971302e-06,1.308728985364595e-05,0.00012938779862321803,-5.9128279294505985e-15,8.083328143468457e-05,0.00010969436351590681,7.402595796494565e-07,1.338746958931338e-09,7.448344526237924e-05,4.6795274834864626e-06,1.0262290513028628e-09,2.1339059598740948e-05,3.155047088182173e-06,1.5069197227862018e-10,1.7911555375596698e-11,-7.332254326423103e-15,4.230985517888822e-06,4.3170139263347574e-10,1.7654209239865423e-06,1.7007971727011595e-06,2.352266959867013e-09,1.3959477432371113e-12,6.488704973769818e-08,1.3175181218562592e-10,8.360240927287171e-14,3.392803413695542e-06,4.461709552324138e-09,0.00017846602435503118,5.487215079885868e-07,2.3692746447658966e-07,7.988262930604039e-06,4.2696396556265756e-05,1.0169753400936137e-05,0.00010802172950259344,8.671931440801661e-05,4.401916245686182e-08,1.7547585551565895e-08,4.217516743063216e-08,8.937617547973227e-06,1.594265387561212e-08,6.481611578439492e-06,1.2476289717964045e-08,1.3877339141683207e-08,7.073079633928871e-10,4.593244215443371e-06,7.309993351787363e-09,9.4420744592968e-09,1.301196404039518e-07,4.8568526549046436e-08,7.28861122231427e-08,9.10823151291375e-11,1.3438196849293226e-10,2.3734315655270487e-13,-4.500040038698968e-16,1.2586501370331454e-10,1.2604017950219228e-10,6.353059511642431e-08,1.0779145398174664e-10,7.925756075909822e-13,4.107616910086861e-08,3.3156869149028014e-08,9.697234481451963e-11,2.8321902475116404e-10,7.805237157514089e-11,1.5420671104533294e-06,3.0950175100470213e-09
1.1444091796875002e-06,0.21816045207807575,0.0,302.114804439878,0.1593826124141003,0.046379281842838536,3.121327327389228e-05,2.2707049187317805e-06,0.12290133474839708,4.114823913660247e-05,0.0448607865908213,0.00019580306033680444,5.295300834994515e-05,4.0529964478642767e-14,3.0938081011885386e-11,1.8015692674081376e-07,1.277811592809169e-09,1.3871334608613314e-05,0.0010595550187146702,0.07786753901124217,0.014241346197336725,1.0886827544737097e-06,0.0008050200994088635,3.6955520658978033e-09,2.0804658226322212e-05,7.632410338573161e-05,1.2250070291256134e-10,0.17329160589882206,7.582722817601622e-07,0.0005072598936731567,2.7706382237437784e-06,0.00011017612709820971,1.1101216878223017e-06,0.0009553575167659649,2.5080852167968788e-06,0.5153631180010055,0.0003034612230268301,3.651110438764524e-14,1.564929190208502e-09,7.333435899892669e-10,4.8797631091668335e-06,1.309817477858046e-05,0.0001294961340745955,8.123417469297214e-16,8.091841824092269e-05,0.00010981417389635824,7.410517184113944e-07,1.3422260195726943e-09,7.456177911025448e-05,4.684233437557622e-06,1.0292348133231924e-09,2.1361682789852704e-05,3.158401819073076e-06,1.509367748014751e-10,1.7941420354315733e-11,2.788887584219905e-16,4.235770824541079e-06,4.3250710362746305e-10,1.767552407750684e-06,1.702879539805666e-06,2.35520332870468e-09,1.4071024456073631e-12,6.496570325557514e-08,1.3193648662445194e-10,9.142109813903214e-14,3.3969799298163057e-06,4.467146775056054e-09,0.00017868535740255025,5.494190632116565e-07,2.3722853361299246e-07,7.998351548056435e-06,4.274294371160495e-05,1.0180856046351263e-05,0.00010812924945320197,8.678424124778142e-05,4.407355297544368e-08,1.7580815038462457e-08,4.224118085976108e-08,8.951479412231562e-06,1.5968243841879555e-08,6.491013978196848e-06,1.2495040707785376e-08,1.3898230062480883e-08,7.085197720310122e-10,4.601084378948152e-06,7.322890116463097e-09,9.458793324702277e-09,1.3034140688670123e-07,4.866009238338402e-08,7.302352173030028e-08,9.12692113214124e-11,1.3465527562050266e-10,2.4529124573530533e-13,2.4194047743739926e-16,1.2615448002301312e-10,1.2633000172116779e-10,6.366784159208518e-08,1.0805190556397847e-10,8.020589927372426e-13,4.117252020434992e-08,3.3217109402796675e-08,9.715532400883807e-11,2.837394086878598e-10,7.82496919661583e-11,1.544974094712219e-06,3.101074293487631e-09
1.52587890625e-06,0.21866938962698723,0.0,302.8168181753867,0.1590116606233198,0.046384962611570414,3.1211414063909445e-05,2.2715039270692235e-06,0.12286166571840525,4.1163101567255995e-05,0.04488065643908119,0.00019590144548141885,5.297810805922692e-05,4.069598769559167e-14,3.094614076262006e-11,1.802891455341402e-07,1.2786511831886557e-09,1.3878531095608665e-05,0.0010600275737297487,0.07790543975683543,0.014250702545610802,1.0898095909955688e-06,0.0008056092348727516,3.698031527155939e-09,2.0818482651417398e-05,7.637566089149179e-05,1.2257606298697773e-10,0.1732596122046997,7.592348932796612e-07,0.0005075846745365481,2.7726296872306028e-06,0.00011025263206120727,1.1108474402825663e-06,0.0009560984106973049,2.5100537401102543e-06,0.515358398829409,0.00030370051163288787,3.7045997926222035e-14,1.5662631480012914e-09,7.343038221773613e-10,4.884154680862822e-06,1.31090043169878e-05,0.0001296042789037091,5.699532350310181e-16,8.100382556837196e-05,0.00010993345288441864,7.418510237579389e-07,1.3466664335099797e-09,7.463999990623934e-05,4.688816530726366e-06,1.0331299038805904e-09,2.1384280043160967e-05,3.1617576324966057e-06,1.5120913869517134e-10,1.7965484872055785e-11,7.954861994331616e-16,4.240572870242355e-06,4.334588461754586e-10,1.7696817250239055e-06,1.704959686618375e-06,2.3581710190029876e-09,1.412026028446119e-12,6.50442645722721e-08,1.3212227106047898e-10,9.219912989009247e-14,3.4011507981334964e-06,4.472571507112089e-09,0.00017890443114006684,5.5012790920988e-07,2.3753044532227384e-07,8.00843118313494e-06,4.27892385575818e-05,1.0191913504585925e-05,0.00010822465261683568,8.68296903873598e-05,4.4127911244515077e-08,1.761700802227482e-08,4.2307468419311153e-08,8.965330603899168e-06,1.5994244027864928e-08,6.500406825207952e-06,1.2514095013531503e-08,1.3919476808793832e-08,7.097230908890728e-10,4.608918953605652e-06,7.335978727434073e-09,9.475793549217826e-09,1.305630241045647e-07,4.8751604233079484e-08,7.316085348948365e-08,9.145068398124497e-11,1.3492278445919995e-10,2.460889485529179e-13,-1.0993605024570654e-17,1.2644175320766214e-10,1.2661762118562542e-10,6.380504183090642e-08,1.0830525185294007e-10,8.044552834472743e-13,4.126885743249005e-08,3.327730741761471e-08,9.733076612051024e-11,2.8425139472861774e-10,7.844321680961522e-11,1.5478795811828829e-06,3.107228689248839e-09
2.2888183593750003e-06,0.21968420073319145,0.0,304.2165345874208,0.15827712072749114,0.04639629654022278,3.120403549475923e-05,2.2732027811361054e-06,0.12278250230575255,4.119476716350735e-05,0.044920273809230055,0.00019610054028816886,5.302727033742767e-05,4.2471282176211095e-14,3.096461050058447e-11,1.8060524267246478e-07,1.2805053363461183e-09,1.389390780478934e-05,0.0010609700506630157,0.0779810759725676,0.014269371312596006,1.0924427923886792e-06,0.0008068313958691083,3.703036185523642e-09,2.0846055441892207e-05,7.647821598182744e-05,1.227340588044057e-10,0.17319585375302923,7.615924000541772e-07,0.0005082328729472396,2.7766838623369918e-06,0.00011040518698446788,1.1125662180973124e-06,0.0009575740215274496,2.513997645394853e-06,0.5153489739622263,0.0003041797691310038,3.9508691365358905e-14,1.56922782906125e-09,7.365626204614679e-10,4.893252240591635e-06,1.3130498793925623e-05,0.00012982000309464734,1.7063980944311378e-15,8.11754455987675e-05,0.00011017043357644022,7.434711257914779e-07,1.3583351594974034e-09,7.479610668433385e-05,4.697617546968509e-06,1.0434998932740622e-09,2.1429397754343023e-05,3.168472716758072e-06,1.5185570792160588e-10,1.8018834527701373e-11,3.215529448324867e-15,4.2502268225661006e-06,4.3581683499952103e-10,1.7739339767720793e-06,1.7091134337793828e-06,2.364222622883977e-09,1.4257139818213953e-12,6.520113679372799e-08,1.3251951355350653e-10,9.529963096878597e-14,3.409475730479031e-06,4.483406405810455e-09,0.00017934181060499777,5.515791433289959e-07,2.3813678033557453e-07,8.028563959549868e-06,4.288107872204845e-05,1.0213880312471e-05,0.00010838107682313132,8.686551920261878e-05,4.4236555409969076e-08,1.7698239855473674e-08,4.24408795527889e-08,8.993001545294519e-06,1.60474833156243e-08,6.519164305397828e-06,1.2553125376753249e-08,1.3963048470075546e-08,7.121269804440558e-10,4.624571659425563e-06,7.362746948132137e-09,9.510651462425042e-09,1.310058415046161e-07,4.893449231634501e-08,7.343531387563137e-08,9.182400077031073e-11,1.354724710151368e-10,2.489098795585065e-13,8.405381106809469e-17,1.2703223855962484e-10,1.2720876984562017e-10,6.407933067026349e-08,1.0881329314336218e-10,8.106403562315553e-13,4.146151565709289e-08,3.3397601408073343e-08,9.768172230166188e-11,2.8527281294636874e-10,7.884144552541445e-11,1.553686184140673e-06,3.1198496980800162e-09
3.0517578125e-06,0.22069497882156563,0.0,305.61058252648337,0.15755221499451483,0.046407594113004096,3.1192575812610574e-05,2.275031833846416e-06,0.12270356964430607,4.1228941545086714e-05,0.044959730316399514,0.00019630268072814698,5.307508378129805e-05,3.544140334279491e-14,3.0977899962772486e-11,1.8098771465166287e-07,1.2825144660437442e-09,1.3910574208528086e-05,0.001061909068674652,0.0780564948646502,0.014287982334513203,1.0955509628167017e-06,0.0008081052390020126,3.7081293297408834e-09,2.0873527813383547e-05,7.6580036799236e-05,1.2289368287561198e-10,0.17313238701028222,7.644585518056196e-07,0.0005088792830661342,2.7808302234852107e-06,0.00011055714371004436,1.1146330338302377e-06,0.0009590415242409965,2.5179505592000893e-06,0.5153395694911235,0.0003046599033620989,3.305100950813504e-14,1.5725576871929244e-09,7.391552331095019e-10,4.902763711498052e-06,1.3151776875137073e-05,0.00013003498453475996,-5.1487817106037615e-15,8.134812360437724e-05,0.00011040534565297553,7.451198329422372e-07,1.3734393492592231e-09,7.495177466133925e-05,4.705939208099369e-06,1.0570445024264527e-09,2.1474414630243146e-05,3.1751927856936913e-06,1.526188427040225e-10,1.8068197685025202e-11,-3.2737129022684827e-15,4.259946286109058e-06,4.3875617540034923e-10,1.7781778622279278e-06,1.713258592586132e-06,2.370417579538679e-09,1.433458109226656e-12,6.535767025688166e-08,1.3293939123803988e-10,8.969501770445377e-14,3.417778341759166e-06,4.494211502923704e-09,0.00017977818208669293,5.530742577204481e-07,2.387463368705821e-07,8.048662124899791e-06,4.297193473571515e-05,1.0235618348106799e-05,0.00010849634017839403,8.6835928820086e-05,4.4345094723166986e-08,1.7791114480907995e-08,4.257537170314533e-08,9.020631455297414e-06,1.6102329342636676e-08,6.5378848708670315e-06,1.2593348094157722e-08,1.4008018580900796e-08,7.145165144824725e-10,4.640202920723641e-06,7.3902750993504485e-09,9.546619906488177e-09,1.3144810498559304e-07,4.911719368091182e-08,7.370949896752625e-08,9.219810166392898e-11,1.360258194331508e-10,2.425868099867686e-13,-1.7480004425059032e-16,1.27632853784034e-10,1.278099953070514e-10,6.435346687181139e-08,1.0931236818204906e-10,8.079111259928466e-13,4.16541456689283e-08,3.3517751659520605e-08,9.802203664850981e-11,2.862799551177289e-10,7.924357305440953e-11,1.5594871113694449e-06,3.132868449188298e-09
3.814697265625e-06,0.22170178573516072,0.0,306.9990515892712,0.15683672834098147,0.046418855879733635,3.11777460499764e-05,2.2769866584810415e-06,0.12262486502861147,4.126554929121567e-05,0.04499902850227516,0.00019650780988102675,5.3121582342380266e-05,4.6242125663041734e-14,3.101382112719147e-11,1.814341614229575e-07,1.2846690988975455e-09,1.3928508269424532e-05,0.001062844685745036,0.07813169995925355,0.014306536552117813,1.0991038843212132e-06,0.0008094246525587504,3.7133708098987304e-09,2.0900900724317828e-05,7.668113639268505e-05,1.2308160513670873e-10,0.17306919906487264,7.677737216853079e-07,0.0005095239379055704,2.785066016218337e-06,0.00011070851174912913,1.117039628077009e-06,0.0009605010567289193,2.5219123912894546e-06,0.5153301874871989,0.00030514088516035617,4.4498915205520284e-14,1.576262389944066e-09,7.420358419800186e-10,4.912683744548635e-06,1.3172841836370436e-05,0.00013024923569209736,3.0619593975222047e-15,8.152184454203636e-05,0.0001106382248111966,7.467971121648693e-07,1.3917745182730747e-09,7.510701230334358e-05,4.713789418295071e-06,1.0735711474335882e-09,2.1519332505832426e-05,3.181918253549649e-06,1.5351753895656907e-10,1.814020895487159e-11,8.131905828851385e-15,4.269730380679839e-06,4.4229095040502787e-10,1.7824135838425245e-06,1.7173953604469822e-06,2.376781812865943e-09,1.4617220983770328e-12,6.551389840899947e-08,1.3340788115220384e-10,1.0210695327019759e-13,3.4260587989751263e-06,4.50501406732273e-09,0.00018021356389754192,5.54612440363096e-07,2.393590123467796e-07,8.068726538551661e-06,4.3061822677440155e-05,1.0257100321760724e-05,0.00010857463072529477,8.674806484066434e-05,4.445355894228113e-08,1.789552375767534e-08,4.271094935932524e-08,9.048221385034647e-06,1.6158774767077345e-08,6.556569344788167e-06,1.2634764188189538e-08,1.405438572970519e-08,7.169186146581191e-10,4.655813318454768e-06,7.4185728432601055e-09,9.58370391833438e-09,1.3188985613234655e-07,4.929974164111792e-08,7.398344787682577e-08,9.260513897342107e-11,1.366222513888226e-10,2.539107339443392e-13,4.477641191813399e-17,1.2827007399227275e-10,1.2844777709883098e-10,6.462748538007812e-08,1.0982930747916489e-10,8.230727124310951e-13,4.184677928127694e-08,3.363778856934968e-08,9.837855864470162e-11,2.872995517218889e-10,7.967618393872339e-11,1.565282573982871e-06,3.1463040900213653e-09
4.577636718750001e-06,0.22270468041209204,0.0,308.3820285210698,0.1561304534275791,0.046430082345409004,3.11601757178421e-05,2.279062705240529e-06,0.12254638578826126,4.1304519716219946e-05,0.04503817081864586,0.00019671586916550265,5.31667986723634e-05,5.250845274799849e-14,3.105189614091675e-11,1.819422464174667e-07,1.2869338403038135e-09,1.3947688675095709e-05,0.0010637769574152057,0.07820669460207244,0.014325034873296257,1.1030726385816657e-06,0.0008107841987216848,3.7187666310417108e-09,2.092817484021726e-05,7.678152730609366e-05,1.2327799438970048e-10,0.17300627827333503,7.714856593217817e-07,0.0005101668693667461,2.7893885039693045e-06,0.00011085930019117727,1.1197779871426708e-06,0.0009619527530136809,2.525883005476783e-06,0.5153208297205079,0.00030562268481215357,5.118129095614896e-14,1.580305414041634e-09,7.451327668265192e-10,4.9230070977984505e-06,1.3193696811783767e-05,0.00013046276858765335,8.141137075923502e-15,8.169659381979282e-05,0.00011086910556134416,7.485028678277674e-07,1.4131226053645103e-09,7.526182781680745e-05,4.721176007903104e-06,1.0928699306732773e-09,2.1564153083570365e-05,3.188649461486485e-06,1.5452201412206367e-10,1.821210963176339e-11,1.4795364518909733e-14,4.2795781962294525e-06,4.4638716580813233e-10,1.7866412892640516e-06,1.7215238809627715e-06,2.383291738303802e-09,1.4877464245641982e-12,6.566980506019473e-08,1.339014658229926e-10,1.099993894344819e-13,3.4343171998222883e-06,4.5157918763632226e-09,0.0001806479737037271,5.56192840880912e-07,2.399746435475394e-07,8.088757999409704e-06,4.315075829984886e-05,1.0278302257385516e-05,0.00010861968041192558,8.660828271323136e-05,4.456192827459659e-08,1.8011319625491504e-08,4.284756799326401e-08,9.075772307908706e-06,1.62167634411383e-08,6.575218483602227e-06,1.2677325695500367e-08,1.4102099572119583e-08,7.193107453290458e-10,4.67140337243976e-06,7.447600728501786e-09,9.621859494692655e-09,1.3233108670944932e-07,4.948211873362504e-08,7.425714356565886e-08,9.301751709849613e-11,1.37227797779828e-10,2.6031229197406296e-13,1.7375438694214672e-16,1.2892094202949139e-10,1.2909914606502116e-10,6.490137145517715e-08,1.1034148937708335e-10,8.335095606970341e-13,4.20393987201774e-08,3.3757692981059405e-08,9.872868371895012e-11,2.8830886396171764e-10,8.011644398424379e-11,1.571072730061359e-06,3.160126459721308e-09
5.3405761718750005e-06,0.2237037197052424,0.0,309.75959738610527,0.15543318980536697,0.04644127400145841,3.11404226736106e-05,2.2812554065175146e-06,0.12246812926862191,4.134578653340728e-05,0.04507715964334491,0.00019692679863448427,5.32107642396865e-05,4.300471183410722e-14,3.1082173759273354e-11,1.8250975359639734e-07,1.2892932877063396e-09,1.3968094867672455e-05,0.0010647059375319577,0.07828148203274514,0.014343478177371725,1.1074297611958425e-06,0.0008121790332588657,3.7243300129128755e-09,2.0955350614317007e-05,7.68812216848815e-05,1.2347321612565422e-10,0.17294361400896666,7.755486334260207e-07,0.0005108081082664678,2.793795028422834e-06,0.0001110095178581314,1.1228403985357726e-06,0.0009633967433535274,2.529862276171397e-06,0.515311497721217,0.00030610527224432646,4.169016170297702e-14,1.5846633513289e-09,7.484009519542256e-10,4.933728696596548e-06,1.321434485977825e-05,0.0001306755948824071,1.5142444308332889e-15,8.187235732335858e-05,0.00011109802132916074,7.502370048231633e-07,1.4373082634385929e-09,7.541622918570757e-05,4.728106778918374e-06,1.1147698476220479e-09,2.1608878009949502e-05,3.1953867375622126e-06,1.556143041474648e-10,1.8272375347393856e-11,5.306370160678349e-15,4.289488864159352e-06,4.5102332789020585e-10,1.7908611318334237e-06,1.7256443034636389e-06,2.3899350095485554e-09,1.499984197687149e-12,6.582538506521844e-08,1.3440785849594888e-10,1.0202992270466513e-13,3.4425536385680995e-06,4.526533921591624e-09,0.00018108142860729599,5.578146315455608e-07,2.4059306951041245e-07,8.108757301543147e-06,4.323875709925845e-05,1.0299203211419847e-05,0.00010863481923297287,8.642224243634518e-05,4.4670194057807575e-08,1.813837422493719e-08,4.2985194687713044e-08,9.103285175860554e-06,1.627625107764047e-08,6.593833030366728e-06,1.2720996345972433e-08,1.4151121542431074e-08,7.216815627339375e-10,4.6869735954830775e-06,7.477330811376704e-09,9.66105426449335e-09,1.3277179921583427e-07,4.9664318797519626e-08,7.453058144458667e-08,9.342115976997062e-11,1.3782512377465042e-10,2.5041065370041404e-13,-6.72351171053638e-17,1.295737037188101e-10,1.2975235428850787e-10,6.517512129869914e-08,1.1083750699588132e-10,8.277814827226457e-13,4.2231997246902414e-08,3.387745683271601e-08,9.906101905545618e-11,2.8929636692173977e-10,8.05527059913106e-11,1.5768577428325859e-06,3.1743167584120716e-09
