z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,C2H3O,N2,C2O,C3H2,C3H3,PC3H4,AC3H4,C4H,C4H2,H2C4O,n-C4H3,i-C4H3,C4H4,n-C4H5,i-C4H5,C4H6,C4H612,C5H2,C5H3,C6H,C6H2,C6H3,l-C6H4,c-C6H4,n-C6H5,i-C6H5,l-C6H6,n-C6H7,i-C6H7,c-C6H7,C6H8,A1,A1-,C6H5O,C6H5OH,C5H6,C5H5,C5H5O,C5H4OH,C5H4O,n-A1C2H2,i-A1C2H2,A1C2H3,A1C2H3*,A1C2H,A1C2H*,A1C2H-,A1C2H)2,A2,A2-1,A2-2,naphthyne,A2C2HA,A2C2HB,A2C2HA*,A2C2HB*,A2C2H2,A2C2H)2,A3-1,A3-4,A3,A3C2H,A3C2H2,A4,P2,P2-,P2-H,A4-,A2R5,A2R5-
0.0,0.21417699043125799,0.0,300.00000000000006,0.16234695764596627,0.040592822835111224,7.065211114854348e-06,3.876752656386327e-07,0.16533417497798236,1.0475920414661197e-05,0.02418258131561246,9.060597189750615e-05,7.164075816921132e-05,9.79337492415631e-15,6.297863688461469e-13,1.8121921139884334e-08,4.1416550634545476e-11,1.0161801169997113e-06,0.0005615526486809487,0.03721645005735903,0.005492118364142932,1.214930512231546e-07,0.00014720327847136334,3.1931573130374097e-10,5.268340948576221e-06,3.672629356699479e-05,2.322327002075136e-12,0.2041416140337045,1.32429435045605e-07,0.00020538501433790777,5.591282410122434e-07,4.1887315243428876e-05,7.119861667915079e-08,0.0003865700579116973,8.473259514814143e-07,0.5207329925767362,0.0001490747431538723,1.2603789584356473e-13,2.3611076064699305e-11,1.4646422048726817e-11,5.291498473034973e-07,3.0251001114172384e-06,3.988069443809793e-05,6.928758999434865e-15,8.993943775861081e-06,1.5046408420406186e-05,3.5535613510636e-08,3.879121721266343e-11,1.9448491512347767e-05,3.117906446102762e-06,3.603853173972917e-11,4.124156316890238e-06,6.778693236914209e-07,1.412481829206704e-12,6.9093238876624e-14,3.620283234691698e-14,3.70824367654607e-07,5.772238774665433e-12,2.9148806648738577e-07,3.011919079408496e-07,3.5995955536327973e-10,8.605841796134348e-14,2.1432315999942575e-08,5.7942011583033725e-11,2.2395498954159025e-14,2.8993021480120395e-07,9.230276577394591e-10,3.5041382603398926e-05,9.06847822385265e-08,6.061293873181892e-08,1.3046075238036433e-06,1.3509938585661405e-05,9.876064749574881e-06,0.000227027164096444,0.00020477165009768504,1.784236097293809e-09,1.168376134437699e-10,6.11519643104089e-09,1.2029806979305634e-06,1.553822836363815e-09,6.927337918527867e-07,1.4310119813690717e-09,1.8011640216775811e-09,4.895614458059841e-11,7.496152760276657e-07,7.305553985940133e-10,1.9406452815253512e-09,7.47230292998075e-09,2.412094163170865e-09,3.4050058613472834e-09,5.17746840085809e-12,6.9173629748592444e-12,3.8730796940311235e-14,1.255769623932286e-14,5.557934473388626e-12,5.4174010110274005e-12,2.0337321208355476e-09,1.894158399504343e-12,1.4840499505481964e-13,1.0630378624859026e-09,2.2766084827554717e-09,9.51609374939197e-12,4.922183590645682e-11,2.8036428737935906e-12,1.1876198054571793e-07,3.1588368374429767e-10
2.197265625e-06,0.21486378257623892,0.0,300.94898806594495,0.1618280306592515,0.04062160313451696,7.068461718758975e-06,3.8835908310610033e-07,0.1652180057504681,1.049478198363417e-05,0.02424471509763668,9.086217689939972e-05,7.18448775471013e-05,3.728034761344262e-16,6.13525323079592e-13,1.8167449402936277e-08,4.15112717029957e-11,1.0187961985577603e-06,0.0005630047463268709,0.03732136227034362,0.005513032837377856,1.2195834079665143e-07,0.00014777221089243482,3.205337743334691e-10,5.288648523155554e-06,3.687100045170013e-05,2.317631845069131e-12,0.20405815787394938,1.3290394069386467e-07,0.00020614681973864465,5.613612866726247e-07,4.205613878032931e-05,7.136558241887975e-08,0.00038831476792429616,8.511503083251142e-07,0.5207057887921877,0.00014975112138328775,1.1354431606831412e-13,2.368698564179983e-11,1.4690930925480088e-11,5.316989240478587e-07,3.0397593665032077e-06,4.007395134353951e-05,-9.606794230044239e-16,9.04824407822647e-06,1.5142084099945068e-05,3.5751002754408036e-08,3.901358639209961e-11,1.9566843851387813e-05,3.136951883750605e-06,3.6245906800354557e-11,4.149440592762418e-06,6.820252992075051e-07,1.4060671961756475e-12,5.6704175862706496e-14,2.3681707981928505e-14,3.732272915165619e-07,5.797012511042529e-12,2.935232715215069e-07,3.033247578990706e-07,3.624651215393462e-10,7.571472476833309e-14,2.158255231655599e-08,5.83362055851951e-11,9.748300130316584e-15,2.9199551475728637e-07,9.295104357061286e-10,3.529052045211191e-05,9.132823297195787e-08,6.105490896103814e-08,1.3141342763082214e-06,1.3595851279476487e-05,9.938704153485092e-06,0.000228650455697473,0.00020623581585834405,1.7969565355984078e-09,1.1787166767897974e-10,6.169975785867437e-09,1.2137723396657874e-06,1.5677319123075472e-09,6.985479645232301e-07,1.442994694679612e-09,1.8162497172639444e-09,4.9425923770746276e-11,7.570175165786825e-07,7.37750451052138e-10,1.959779987124191e-09,7.54595223365235e-09,2.4383863040715934e-09,3.4421247686417132e-09,5.221046610870555e-12,6.979880663436999e-12,2.6372443681147377e-14,-1.2475801372144809e-17,5.61453570764309e-12,5.472241883988346e-12,2.059135114031897e-09,1.906943653413006e-12,1.3751190536871335e-13,1.0774483821929092e-09,2.300519383310278e-09,9.603166070388343e-12,4.9726533513522275e-11,2.828834871055972e-12,1.2005710952326196e-07,3.1931363704170325e-10
4.39453125e-06,0.2155507115327716,0.0,301.89797613188983,0.16131230812031308,0.04065033550316234,7.059412839457769e-06,3.888279390209063e-07,0.16510183764042016,1.0510608439108527e-05,0.024306798637332448,9.111527264152974e-05,7.204680353898e-05,6.971019320656991e-15,6.172859566820791e-13,1.8222880150706602e-08,4.1622236647497744e-11,1.0214647950898714e-06,0.0005644565728393837,0.037426288294250584,0.005533961222173155,1.2245579082621942e-07,0.00014848136906735947,3.216898524715349e-10,5.3093637114964355e-06,3.7015791449917916e-05,2.336146846242549e-12,0.2039749267589803,1.3337600751241323e-07,0.00020690925164620514,5.635748054299024e-07,4.222513696411542e-05,7.15678233029964e-08,0.00039005800287324216,8.549936864364021e-07,0.5206785726708553,0.00015042904983242065,1.169315127228052e-13,2.3815547726270365e-11,1.478786020956422e-11,5.34332561026145e-07,3.0544064302419526e-06,4.026752640033784e-05,3.1004313602828073e-15,9.103071043748945e-06,1.5237694596160904e-05,3.596878621749964e-08,3.94535503567195e-11,1.968543892234129e-05,3.1548140314282108e-06,3.672218598292586e-11,4.174801396927541e-06,6.862150585186753e-07,1.419239694024267e-12,6.075094933584375e-14,2.7084607063879303e-14,3.7565525678280616e-07,5.848711702605277e-12,2.955665412519643e-07,3.0546605654883085e-07,3.6505537115467086e-10,8.204291052871372e-14,2.1733397740531757e-08,5.880660199541108e-11,1.40098627047945e-14,2.940646282799712e-07,9.360350974479616e-10,3.5540285717989946e-05,9.199059891869404e-08,6.151276686445971e-08,1.3236916338445685e-06,1.3680083956468384e-05,9.997395137532265e-06,0.00023017270767072633,0.00020754175793569524,1.809751384799626e-09,1.1944453065865789e-10,6.225463884792098e-09,1.224626744179394e-06,1.5819969914415084e-09,7.043911693473321e-07,1.4553406007104425e-09,1.8318256852745995e-09,4.9914592803668715e-11,7.644684600718337e-07,7.451038862212874e-10,1.9795585610223757e-09,7.62010675977548e-09,2.4648946675252333e-09,3.479542892721564e-09,5.28278448766226e-12,7.061919500024403e-12,3.010916153581016e-14,1.5157777775319287e-16,5.6892914911341844e-12,5.545222784262175e-12,2.0847850445562936e-09,1.9356718328831664e-12,1.4230612619875867e-13,1.092022114099779e-09,2.324617465274344e-09,9.706641127990877e-12,5.024962181320051e-11,2.8711030584834403e-12,1.213620742938698e-07,3.228768982688436e-10
6.591796874999999e-06,0.2162377702027597,0.0,302.8469641978347,0.16079976574738783,0.04067902033157472,7.039380687885853e-06,3.890852670231701e-07,0.16498567173235998,1.0523360937647475e-05,0.024368832482199003,9.136536672039058e-05,7.224656439295946e-05,-1.3627757168800672e-14,5.982691175743728e-13,1.8285547881937147e-08,4.1680302273215596e-11,1.024185221267022e-06,0.0005659081400541168,0.03753122881988212,0.005554903613736873,1.2295551411682542e-07,0.000149319873821637,3.2273651497635954e-10,5.330484620104545e-06,3.716066745907078e-05,2.3384451058534943e-12,0.20389190328643653,1.3379228508214e-07,0.00020767231365030787,5.657680897806344e-07,4.239431063865431e-05,7.180009941912177e-08,0.00039179978726763397,8.588559895906684e-07,0.5206513490575911,0.00015110851419067304,9.096818974421291e-14,2.3933325969456588e-11,1.48697484443268e-11,5.370508567180404e-07,3.069041418384846e-06,4.046142056721716e-05,-6.3873272953383804e-15,9.158424655181888e-06,1.5333240968202217e-05,3.6188928843859423e-08,4.000425978551779e-11,1.9804277744387597e-05,3.171497608866491e-06,3.7345214195021906e-11,4.200238698202298e-06,6.904386739188246e-07,1.4061531079381625e-12,3.616395918202559e-14,1.340929986256043e-15,3.781082165042511e-07,5.880555825780134e-12,2.976178502003156e-07,3.076157774874638e-07,3.676855172513475e-10,6.052678649201547e-14,2.188480850461637e-08,5.930510344377986e-11,-9.38746014645596e-15,2.9613744927989205e-07,9.425565808683384e-10,3.57906730712964e-05,9.267177057619498e-08,6.198641110386585e-08,1.3332797123313583e-06,1.376264110771579e-05,1.0052042139616073e-05,0.00023160097905646564,0.0002087017866287611,1.8225756426520518e-09,1.2149758634977046e-10,6.281615409155778e-09,1.2355440931052725e-06,1.5965713338854325e-09,7.102634531198279e-07,1.4680035526149073e-09,1.84784613241426e-09,5.0377050003128625e-11,7.719682653869703e-07,7.525691485599474e-10,1.9999367285880694e-09,7.694723333312618e-09,2.491574383947646e-09,3.517212099789129e-09,5.310865760371838e-12,7.102769376417251e-12,5.043391111022955e-15,-4.270132389199386e-16,5.737193365725665e-12,5.591206134384862e-12,2.110638219411849e-09,1.935250447928384e-12,1.1778069469510042e-13,1.1067150842177301e-09,2.3488583488709324e-09,9.781331956474547e-12,5.074601631797423e-11,2.8853610659466746e-12,1.22676878150041e-07,3.2652874446287156e-10
8.7890625e-06,0.21692495564277534,0.0,303.79595226377955,0.1602903764176739,0.0407076579517675,7.009554412505752e-06,3.8913446255829533e-07,0.16486950901306555,1.0533018539888057e-05,0.024430817110967916,9.161257131222283e-05,7.244418809008429e-05,3.8168859842721097e-14,6.446682867642676e-13,1.8353320223140545e-08,4.175041434966401e-11,1.0269573066837673e-06,0.0005673594589878595,0.03763618435990709,0.005575860093728516,1.2343316147047515e-07,0.00015027779263693505,3.2377529761239124e-10,5.352008784974877e-06,3.7305629463410265e-05,2.3843965023829472e-12,0.20380907191817316,1.3412067261792458e-07,0.00020843600904932433,5.67940650015719e-07,4.256366069674522e-05,7.205778868799517e-08,0.0003935401488438136,8.627372548684147e-07,0.5206241221428971,0.00015178949775890464,1.4188531090299023e-13,2.4126015851229317e-11,1.50254584681374e-11,5.398540755859958e-07,3.08366463092383e-06,4.065563495717014e-05,1.755692700328472e-14,9.214305048495478e-06,1.5428724500393637e-05,3.6411553281965564e-08,4.073011107257277e-11,1.9923361686831573e-05,3.1870090643892985e-06,3.816480103525945e-11,4.225752601508209e-06,6.946963334774246e-07,1.4711314181178216e-12,8.78606967996039e-14,5.230248820858846e-14,3.8058635276065237e-07,5.996602206201967e-12,2.996773241156182e-07,3.097740456898996e-07,3.7046200040578404e-10,1.137449541563252e-13,2.2036892186265592e-08,5.99348368494741e-11,4.2081415113654384e-14,2.982140231911674e-07,9.491810179025593e-10,3.60416773525192e-05,9.337175728726194e-08,6.247584105907023e-08,1.3428988196752463e-06,1.3843531581710084e-05,1.0102576275683239e-05,0.00023294171253723483,0.00020972712219445927,1.8355355568657563e-09,1.2412564499522857e-10,6.338535446027406e-09,1.246524718133387e-06,1.6115585135486674e-09,7.161650167322364e-07,1.4810879772412648e-09,1.8644158646250735e-09,5.091931359692366e-11,7.795172448314954e-07,7.602505478984631e-10,2.0210205232626393e-09,7.769910023026457e-09,2.5185349832292567e-09,3.55525398534397e-09,5.433081835117248e-12,7.259479407101051e-12,5.6212914568807954e-14,1.1665817775757805e-15,5.864062402847412e-12,5.716123779292503e-12,2.136802073379486e-09,2.0115614243722515e-12,1.6972957855087413e-13,1.121634116021587e-09,2.3733486939641787e-09,9.93322868301261e-12,5.132168446862063e-11,2.9775431986420304e-12,1.2400167677458565e-07,3.303753948917758e-10
1.0986328125e-05,0.21761225775443485,0.0,304.74494032972444,0.1597841185656758,0.040736248837012226,6.971008959805834e-06,3.8897858789473677e-07,0.1647533501336461,1.0539575697320031e-05,0.024492753156365406,9.185700363210908e-05,7.263970177119337e-05,-9.775951835409376e-14,5.303939943493092e-13,1.842399179451163e-08,4.166598594437446e-11,1.029780802697653e-06,0.0005688105418016177,0.037741155870668563,0.00559683077478915,1.2386949847981003e-07,0.00015134604619694212,3.24533826863546e-10,5.373932774542356e-06,3.7450678137913305e-05,2.337147130154063e-12,0.2037264171005388,1.3434284674553566e-07,0.0002092003404907389,5.700916805396897e-07,4.273318791917013e-05,7.233621987497443e-08,0.0003952791185676246,8.666371074908945e-07,0.5205968964490525,0.00015247198259425577,-8.151588524313913e-15,2.414005359833939e-11,1.4993194550093415e-11,5.427419826130662e-07,3.098276012403289e-06,4.085017035920609e-05,-2.6501218568265573e-14,9.270711559309307e-06,1.5524146089419972e-05,3.663635297826159e-08,4.1321244648964466e-11,2.0042691847399996e-05,3.2013559742151537e-06,3.8873902899032623e-11,4.251342857063519e-06,6.989878062859624e-07,1.339206817593172e-12,-5.872669420123893e-14,-9.679911108630471e-14,3.830892146355517e-07,5.919908537532728e-12,3.0174470400847246e-07,3.119406008204063e-07,3.7310799668130465e-10,-2.722135360556404e-14,2.2189372890102902e-08,6.041594007936443e-11,-1.0061273168695697e-13,3.002940183192151e-07,9.556313606453233e-10,3.629329313869277e-05,9.409015658580955e-08,6.298062962344987e-08,1.3525489209379894e-06,1.3922767697322479e-05,1.0148952167142795e-05,0.00023420079817950003,0.00021062800769444066,1.8483540943153402e-09,1.2704401174725126e-10,6.395945390434045e-09,1.2575685687910531e-06,1.6266788930835734e-09,7.220956745733777e-07,1.4943148569122284e-09,1.881255906006062e-09,5.126475009702517e-11,7.871153232438472e-07,7.678693386803457e-10,2.042532416795179e-09,7.845392219288766e-09,2.545494147309144e-09,3.593356772580649e-09,5.315423508738085e-12,7.121275645147844e-12,-9.088843474574768e-14,-1.531510039333927e-15,5.793813348032044e-12,5.643727413692063e-12,2.1630018946988624e-09,1.888583195551485e-12,2.203228899349563e-14,1.1365043147537744e-09,2.3978127193749626e-09,9.885831233093661e-12,5.170002552402466e-11,2.8715437964888847e-12,1.2533623959439158e-07,3.3414045874279e-10
1.3183593749999998e-05,0.21829967623018923,0.0,305.69392839566933,0.1592809636498121,0.04076479325259865,6.9247182626255e-06,3.886219632932662e-07,0.16463719585849107,1.0543041796909138e-05,0.02455464101704657,9.209878722257e-05,7.283313293289863e-05,-1.0140594382383818e-14,5.914189595442303e-13,1.8496408213380245e-08,4.1664664305037914e-11,1.0326565247955566e-06,0.0005702613985866538,0.03784614367075393,0.00561781572343623,1.2425130581765272e-07,0.0001525163198468859,3.2545073121087635e-10,5.396253310189649e-06,3.759581473128048e-05,2.379764390795819e-12,0.20364392616630675,1.344506255943797e-07,0.00020996531088799888,5.722211699904308e-07,4.2902893436332326e-05,7.263204694131239e-08,0.0003970167298616093,8.705559046134357e-07,0.5205696752028431,0.00015315595074023261,9.903992148528319e-14,2.4356304812459847e-11,1.517254166209229e-11,5.457153504652391e-07,3.1128762667379406e-06,4.104502824705326e-05,-6.406430192767612e-15,9.327644863091776e-06,1.5619507515339505e-05,3.686384099000515e-08,4.221514426596866e-11,2.016227027523442e-05,3.2145480980317426e-06,3.9884287990288805e-11,4.277009901824843e-06,7.033135698853289e-07,1.4590648968803043e-12,4.5482104947843835e-14,9.684312253520269e-15,3.85617604905685e-07,6.102020899565744e-12,3.0382046583169633e-07,3.1411591822964426e-07,3.760801524826841e-10,7.188078792955792e-14,2.234270870817634e-08,6.120185460079388e-11,-3.2537390773274513e-15,3.023778328620331e-07,9.623642173427712e-10,3.6545515694587175e-05,9.482727573789209e-08,6.350104613423845e-08,1.3622307391070845e-06,1.4000365865333262e-05,1.0191146701548486e-05,0.00023538363348670784,0.0002114138121640777,1.861487960435407e-09,1.307012342342536e-10,6.4542987257498855e-09,1.2686763250915336e-06,1.6423848264984573e-09,7.280559813664892e-07,1.5081378190385727e-09,1.898819878391514e-09,5.186891310184949e-11,7.947631649592697e-07,7.75878878593589e-10,2.0649263879168123e-09,7.921627425579522e-09,2.5729194627192366e-09,3.632037473009261e-09,5.508847840580411e-12,7.366059836904233e-12,1.2759813877666942e-14,-4.4359289790336933e-16,5.980987709725376e-12,5.8286918243102955e-12,2.1896939309712395e-09,2.0206025523383394e-12,1.2912121447900513e-13,1.1517812068700749e-09,2.4227064459033404e-09,1.0094428431285576e-11,5.233629358461027e-11,3.0216456699045445e-12,1.2668107748048583e-07,3.382790941869031e-10
1.5380859375e-05,0.21898720854818177,0.0,306.6429164616142,0.1587808850797203,0.040793291499717235,6.8715639468091755e-06,3.880684610329284e-07,0.164521046783219,1.0543438015589413e-05,0.0246164811297292,9.23380506011988e-05,7.302450800663808e-05,1.4638031808226263e-13,7.109274545697254e-13,1.856898559404925e-08,4.167469903111264e-11,1.0355848500487497e-06,0.0005717120390552919,0.037951148197287864,0.005638815013882875,1.245688742888265e-07,0.00015378099021078713,3.26354253285535e-10,5.41896601725292e-06,3.774103985131181e-05,2.4550854178538073e-12,0.20356158712657063,1.3444137632455274e-07,0.00021073092225589612,5.743285259026135e-07,4.307277780987005e-05,7.294140763096567e-08,0.0003987530178812236,8.744933442604312e-07,0.5205424615579917,0.00015384138387647097,2.786946180929115e-13,2.4634507487229993e-11,1.541896681288197e-11,5.487740414085825e-07,3.12746547746165e-06,4.124020947856719e-05,3.787073629638596e-14,9.385104259888613e-06,1.5714809938576377e-05,3.7093798877680885e-08,4.321841885538016e-11,2.02820984990706e-05,3.226595922751553e-06,4.10076851036827e-11,4.302753538816274e-06,7.076734339424217e-07,1.6521290232899889e-12,2.2224272417649975e-13,1.8898767368906742e-13,3.881711910849131e-07,6.361378596628124e-12,3.0590444481690264e-07,3.1629983257189025e-07,3.7919523087122487e-10,2.4264356289746453e-13,2.2496717572421493e-08,6.210672553362803e-11,1.6571681852391298e-13,3.04465227366506e-07,9.69196197287135e-10,3.679833972702631e-05,9.558275883936686e-08,6.403668886801154e-08,1.3719443842587438e-06,1.4076344932237352e-05,1.0229155366312011e-05,0.00023649517101827238,0.00021209311622002918,1.874753819634442e-09,1.3491126999725068e-10,6.5134095601359685e-09,1.279848028155258e-06,1.6584897511387238e-09,7.340458520452339e-07,1.5223708376166733e-09,1.916921752059408e-09,5.254914669657623e-11,8.024607950580261e-07,7.840939448556268e-10,2.0880178090744738e-09,7.998435007861857e-09,2.6006250243567442e-09,3.671090752107964e-09,5.792304643158411e-12,7.721701959862578e-12,1.8940636270324037e-13,2.3015030728282626e-15,6.243702651207146e-12,6.089136718854767e-12,2.216697675685376e-09,2.226010819343401e-12,3.0935618977523856e-13,1.1672841750020661e-09,2.4478481497797547e-09,1.0376518848112047e-11,5.304803441307307e-11,3.2461888199695117e-12,1.280360527351581e-07,3.426088108698598e-10
1.7578125e-05,0.2196748444830157,0.0,307.5919045275591,0.15828386211566428,0.04082174406375185,6.812345068289743e-06,3.8732208083605014e-07,0.16440490314488018,1.0540796269311156e-05,0.02467827413498532,9.25749274431275e-05,7.321385271299196e-05,-1.3867291443264616e-14,5.803129814060804e-13,1.8640086531448662e-08,4.148817017770417e-11,1.0385661213582879e-06,0.000573162474787494,0.0380561704720353,0.005659828762074862,1.2481570724111195e-07,0.0001551330609292636,3.2682761950420034e-10,5.442065913489748e-06,3.7886353962410505e-05,2.4017978024205963e-12,0.20347938726154807,1.3431618343446686e-07,0.00021149717621414318,5.76412963036219e-07,4.324284170198387e-05,7.326044319531002e-08,0.0004004880204230708,8.784488459790035e-07,0.5205152592821922,0.00015452826438538156,9.183374956184747e-14,2.461725464908414e-11,1.5359405191707115e-11,5.519175673293208e-07,3.1420434918572287e-06,4.143571472177282e-05,-8.644322434531723e-15,9.443088438877179e-06,1.5810054249479792e-05,3.732571918706185e-08,4.3885437883970994e-11,2.0402177842928456e-05,3.2375109695975417e-06,4.181590840015323e-11,4.328573356945079e-06,7.120669257553459e-07,1.4892533486662046e-12,4.270495209385111e-14,4.340345199095551e-15,3.907491948873463e-07,6.264100993355243e-12,3.0799622031364614e-07,3.184919216362091e-07,3.8201552353357267e-10,7.256452467119936e-14,2.2650962712175975e-08,6.269080964448205e-11,-6.005311658208343e-15,3.06555715277064e-07,9.756895564360467e-10,3.705175984251775e-05,9.635597690657448e-08,6.458687494958053e-08,1.3816897396666988e-06,1.415072627715078e-05,1.0262990525798906e-05,0.00023753996209849494,0.00021267378931744634,1.8877140309983642e-09,1.3923613365129124e-10,6.572836919630643e-09,1.2910834659075296e-06,1.6745520952074287e-09,7.400649420329289e-07,1.5365731661452507e-09,1.9351206140895643e-09,5.286840284904071e-11,8.102079776345051e-07,7.920748612606297e-10,2.1113669499108107e-09,8.075379853764395e-09,2.628164098387425e-09,3.710024452289971e-09,5.636191504450474e-12,7.536761889959246e-12,1.0951819308054976e-14,-6.507321335920622e-16,6.145578991620444e-12,5.9885666118655e-12,2.2435780766148985e-09,2.0684831011268424e-12,1.2641952318256675e-13,1.1825780081807518e-09,2.4728015928180727e-09,1.0295269669573777e-11,5.3398274794142033e-11,3.1091325866271916e-12,1.2940076761932334e-07,3.466926305836556e-10
2.197265625e-05,0.22105042679116932,0.0,309.4898806594489,0.15729887202299658,0.04087851312696148,6.677912790446307e-06,3.852683747776176e-07,0.16417263279257896,1.0526538035069924e-05,0.024801720260912027,9.304194833363966e-05,7.358653791376743e-05,-4.848252328427663e-14,5.60469113289175e-13,1.877635363941743e-08,4.121120688083209e-11,1.0446918218063936e-06,0.0005760627640688231,0.038266269369284955,0.005701899805097163,1.2508985182014434e-07,0.00015807973105934578,3.278177007543102e-10,5.489412153554101e-06,3.817725252828255e-05,2.42628731803968e-12,0.20331537385281204,1.337317237798569e-07,0.00021303161705191025,5.805136966971648e-07,4.3583510968371245e-05,7.392053499395479e-08,0.00040395429602323255,8.864149443520237e-07,0.5204608971233272,0.00015590631281918137,1.881790379320488e-14,2.4839160581521553e-11,1.5521948641468518e-11,5.584611670057415e-07,3.1711683055731206e-06,4.182770075624588e-05,-5.787274913813865e-15,9.560630248097532e-06,1.600037487426707e-05,3.779697778255836e-08,4.5580472487328863e-11,2.06430962039223e-05,3.2559887204038733e-06,4.37865748961373e-11,4.38044254933768e-06,7.209558877574978e-07,1.4614617628279823e-12,-1.9257345927634636e-14,-6.673246070411619e-14,3.959807984075466e-07,6.3768410658313285e-12,3.122045756178697e-07,3.2290203481508517e-07,3.8816452466762474e-10,2.5391947112051282e-14,2.296155694107989e-08,6.428005251955921e-11,-5.650891542308232e-14,3.1074719252093207e-07,9.890533046969352e-10,3.7560372292075883e-05,9.795631090770006e-08,6.573140036146164e-08,1.40127783065747e-06,1.4294776886148561e-05,1.0318244755345714e-05,0.00023944217420616103,0.00021356135898005022,1.9141102904936907e-09,1.4961348335068908e-10,6.694016151697413e-09,1.3137473104068906e-06,1.7079241867939043e-09,7.52192340589836e-07,1.5662646029308957e-09,1.97318690088983e-09,5.381248108480096e-11,8.258527825487318e-07,8.087134055462873e-10,2.160214475955695e-09,8.231073498142122e-09,2.6841662782417484e-09,3.789102551008842e-09,5.6872617493837056e-12,7.613645403018267e-12,-5.131999281550806e-14,-2.7538730351444526e-16,6.251108695491829e-12,6.089212453167391e-12,2.2983572038295284e-09,2.048043032801934e-12,5.433873634691366e-14,1.2139242696079405e-09,2.5235324045015866e-09,1.0430203096433206e-11,5.440173825127876e-11,3.132895027600391e-12,1.3216093032002382e-07,3.555079298789927e-10
